layer,hf_hidden_state_index,pair_type,n_prompts,n_facts,correct_rate,mean_n_tokens,mean_l2_norm,std_l2_norm
2,3,correct_correct,802,401,1.0,20.65,1192.4066,99.5988
2,3,correct_wrong,1082,541,0.5,20.24,1195.7648,101.6038
2,3,wrong_wrong,2498,1249,0.0,20.01,1203.4535,105.1995
3,4,correct_correct,802,401,1.0,20.65,1281.1035,125.4658
3,4,correct_wrong,1082,541,0.5,20.24,1293.786,150.2971
3,4,wrong_wrong,2498,1249,0.0,20.01,1299.718,152.7556
4,5,correct_correct,802,401,1.0,20.65,2708.409,246.5733
4,5,correct_wrong,1082,541,0.5,20.24,2715.3474,270.6972
4,5,wrong_wrong,2498,1249,0.0,20.01,2714.405,286.4293
12,13,correct_correct,802,401,1.0,20.65,17261.352,1618.0406
12,13,correct_wrong,1082,541,0.5,20.24,17415.09,1856.3204
12,13,wrong_wrong,2498,1249,0.0,20.01,17375.043,1728.6598
15,16,correct_correct,802,401,1.0,20.65,23859.43,1949.1062
15,16,correct_wrong,1082,541,0.5,20.24,23730.203,2083.9922
15,16,wrong_wrong,2498,1249,0.0,20.01,23562.674,1914.9858
18,19,correct_correct,802,401,1.0,20.65,29469.297,3229.0662
18,19,correct_wrong,1082,541,0.5,20.24,30552.217,3510.329
18,19,wrong_wrong,2498,1249,0.0,20.01,30885.44,3122.7322
