layer,pair_type,n_rows,mean_active_features,std_active_features,mean_sum_activation,mean_max_activation,accuracy
2,correct_correct,802,5.9264339152119705,4.148711816826163,806.5900482786564,387.9820057400444,1.0
2,correct_wrong,1082,6.6377079482439925,5.122728870276483,877.3931597076811,374.35623225354885,0.5
2,wrong_wrong,2498,6.054443554843875,4.063798176257931,826.514357946318,377.8202003375161,0.0
3,correct_correct,802,7.779301745635911,4.052701571013133,965.4709290768441,424.0747588007825,1.0
3,correct_wrong,1082,8.617375231053604,5.1579665752282,1058.1598551357079,407.50717603080597,0.5
3,wrong_wrong,2498,8.207766212970377,4.333474649427645,1009.1148643279859,410.67886222430093,0.0
4,correct_correct,802,9.685785536159601,3.159674510945926,1249.2589637204596,451.86410115306217,1.0
4,correct_wrong,1082,10.05822550831793,3.715274842261242,1323.1915075615902,450.1948461338685,0.5
4,wrong_wrong,2498,10.056044835868695,3.2823452038498364,1312.1613410357193,455.2364598221546,0.0
12,correct_correct,802,17.356608478802993,4.097746095720998,4467.694277794284,1009.3064073672022,1.0
12,correct_wrong,1082,17.22920517560074,4.5120003539180615,4425.694094730173,974.2890397105332,0.5
12,wrong_wrong,2498,16.88871096877502,4.340672111664853,4378.541513191021,973.3343450272914,0.0
15,correct_correct,802,16.91645885286783,4.550644786067849,4798.732572864713,820.9971851529623,1.0
15,correct_wrong,1082,17.171903881700555,4.802676739584214,5060.974513253091,861.2600512266599,0.5
15,wrong_wrong,2498,16.88630904723779,4.541435265297621,5032.007785232092,854.6110615543216,0.0
18,correct_correct,802,16.465087281795512,4.423228105272637,8537.966853496142,1804.689709594422,1.0
18,correct_wrong,1082,16.85674676524954,4.59686533469119,8569.917419095136,1730.8248995007075,0.5
18,wrong_wrong,2498,16.804643714971977,4.304334932625155,8448.417337190065,1613.500896811199,0.0
